temperature,density,dynamic_viscosity,thermal_conductivity
"200,0000","1.766,0000","0,0134","181,0000"
"250,0000","1.413,0000","0,0161","223,0000"
"280,0000","1.271,0000","0,0175","246,0000"
"290,0000","1.224,0000","0,0180","253,0000"
"298,0000","1.186,0000","0,0184","259,0000"
"300,0000","1.177,0000","0,0185","261,0000"
"305,0000",1.16,"0,0188","2.645,0000"
"310,0000","1.143,0000","0,0190","268,0000"
"315,0000","-231.926,0000","0,0192","2.715,0000"
"320,0000","45.597,0000","0,0194","275,0000"
"325,0000","1.093,0000","0,0197","279,0000"
"330,0000","1.076,0000","0,0199","283,0000"
"335,0000","-476.639,0000","0,0201","2.865,0000"
"340,0000","1.043,0000","0,0203","29,0000"
"345,0000","1.026,0000","0,0206","2.935,0000"
"350,0000","1.009,0000","0,0208","297,0000"
"355,0000","9.964,0000","0,0210","3.004,0000"
"360,0000","9.838,0000","0,0212","3.038,0000"
"365,0000","9.712,0000","0,0214","3.072,0000"
"370,0000","9.586,0000","0,0216","3.106,0000"
"375,0000","946,0000","0,0219","314,0000"
"380,0000","9.334,0000","0,0221","3.174,0000"
"385,0000","9.208,0000","0,0223","3.208,0000"
"390,0000","9.082,0000","0,0225","3.242,0000"
"395,0000","8.956,0000","0,0227","3.276,0000"
"400,0000","883,0000","0,0229","331,0000"
"450,0000","785,0000","0,0249","363,0000"
"500,0000","706,0000","0,0268","395,0000"
"550,0000","642,0000","0,0286","426,0000"
"600,0000","589,0000","0,0303","456,0000"
"700,0000","504,0000","0,0335","513,0000"
"800,0000","441,0000","0,0364","569,0000"
"900,0000","392,0000","0,0392","625,0000"
"1.000,0000","353,0000","0,0418","672,0000"
"1.200,0000","294,0000","0,0465","759,0000"
"1.400,0000","252,0000","0,0509","835,0000"
"1.600,0000","221,0000","0,0549","904,0000"
"1.800,0000","196,0000","0,0587","97,0000"
"2.000,0000","177,0000","0,0623","1.032,0000"
